record_id	subject_id	subject_label	predicate_id	predicate_modifier	object_id	object_label	object_category	mapping_justification	author_id	author_label	reviewer_id	reviewer_label	creator_id	creator_label	license	subject_type	subject_source	subject_source_version	object_source_version	mapping_date	publication_date	comment	replaces
hrim:1c56bebe	onz-g:Man	Man@nl	hriv:hasExactMeaning		hrio:MaleBiologicalPerson	Male Biological Person@en	subkind	semapv:ManualMappingCuration	orcid:0000-0003-2736-7817	Pedro Paulo F. Barcelos			https://w3id.org/health-ri/semantic-interoperability	Health-RI Semantic Interoperability Initiative	https://creativecommons.org/licenses/by/4.0/	owl class	http://purl.org/ozo/onz-g#	2.8.1	0.9.2	2025-09-02	2025-09-03		
hrim:1ce9d055	onz-g:Woman	Vrouw@nl	hriv:hasExactMeaning		hrio:FemaleBiologicalPerson	Female Biological Person@en	subkind	semapv:ManualMappingCuration	orcid:0000-0003-2736-7817	Pedro Paulo F. Barcelos			https://w3id.org/health-ri/semantic-interoperability	Health-RI Semantic Interoperability Initiative	https://creativecommons.org/licenses/by/4.0/	owl class	http://purl.org/ozo/onz-g#	2.8.1	0.9.2	2025-09-02	2025-09-03		
hrim:639c6016	onz-g:IntersexPerson	Intersekse persoon@nl	hriv:hasExactMeaning		hrio:IndeterminateBiologicalPerson	Indeterminate Biological Person@en	subkind	semapv:ManualMappingCuration	orcid:0000-0003-2736-7817	Pedro Paulo F. Barcelos			https://w3id.org/health-ri/semantic-interoperability	Health-RI Semantic Interoperability Initiative	https://creativecommons.org/licenses/by/4.0/	owl class	http://purl.org/ozo/onz-g#	2.8.1	0.9.2	2025-09-02	2025-09-03		
hrim:57f0e74d	onz-g:BiologicalSex	Geslacht@nl	hriv:hasExactMeaning		hrio:Sex	Sex@en	category	semapv:ManualMappingCuration	orcid:0000-0003-2736-7817	Pedro Paulo F. Barcelos			https://w3id.org/health-ri/semantic-interoperability	Health-RI Semantic Interoperability Initiative	https://creativecommons.org/licenses/by/4.0/	owl class	http://purl.org/ozo/onz-g#	2.8.1	0.9.2	2025-09-02	2025-09-03		
hrim:267fb4be	onz-g:Human	Mens@nl	hriv:hasExactMeaning		hrio:Person	Person@en	kind	semapv:ManualMappingCuration	orcid:0000-0003-2736-7817	Pedro Paulo F. Barcelos			https://w3id.org/health-ri/semantic-interoperability	Health-RI Semantic Interoperability Initiative	https://creativecommons.org/licenses/by/4.0/	owl class	http://purl.org/ozo/onz-g#	2.8.1	0.9.2	2025-09-02	2025-09-03		
hrim:4a3ce4ed	onz-g:GenderIdentity	Genderidentiteit@nl	hriv:hasExactMeaning		hrio:GenderIdentity	Gender Identity@en	mode	semapv:ManualMappingCuration	orcid:0000-0003-2736-7817	Pedro Paulo F. Barcelos			https://w3id.org/health-ri/semantic-interoperability	Health-RI Semantic Interoperability Initiative	https://creativecommons.org/licenses/by/4.0/	owl class	http://purl.org/ozo/onz-g#	2.8.1	0.9.2	2025-09-02	2025-09-03		
hrim:8e48980e	onz-g:Organism	Organisme@nl	hriv:hasNarrowerMeaningThan		hrio:CellularEntity	Cellular Entity@en	category	semapv:ManualMappingCuration	orcid:0000-0003-2736-7817	Pedro Paulo F. Barcelos			https://w3id.org/health-ri/semantic-interoperability	Health-RI Semantic Interoperability Initiative	https://creativecommons.org/licenses/by/4.0/	owl class	http://purl.org/ozo/onz-g#	2.8.1	0.9.2	2025-09-02	2025-09-03		
hrim:4382f22d	onz-g:Animal	Dier@nl	hriv:hasExactMeaning		hrio:Animal	Animal@en	category	semapv:ManualMappingCuration	orcid:0000-0003-2736-7817	Pedro Paulo F. Barcelos			https://w3id.org/health-ri/semantic-interoperability	Health-RI Semantic Interoperability Initiative	https://creativecommons.org/licenses/by/4.0/	owl class	http://purl.org/ozo/onz-g#	2.8.1	0.9.2	2025-09-02	2025-09-03		
hrim:074fbbc2	onz-g:Mammal	Zoogdier@nl	hriv:hasNarrowerMeaningThan		hrio:Animal	Animal@en	category	semapv:ManualMappingCuration	orcid:0000-0003-2736-7817	Pedro Paulo F. Barcelos			https://w3id.org/health-ri/semantic-interoperability	Health-RI Semantic Interoperability Initiative	https://creativecommons.org/licenses/by/4.0/	owl class	http://purl.org/ozo/onz-g#	2.8.1	0.9.2	2025-09-02	2025-09-03		
hrim:fdc61ced	onz-g:Mammal	Zoogdier@nl	hriv:hasBroaderMeaningThan		hrio:Person	Person@en	kind	semapv:ManualMappingCuration	orcid:0000-0003-2736-7817	Pedro Paulo F. Barcelos			https://w3id.org/health-ri/semantic-interoperability	Health-RI Semantic Interoperability Initiative	https://creativecommons.org/licenses/by/4.0/	owl class	http://purl.org/ozo/onz-g#	2.8.1	0.9.2	2025-09-02	2025-09-03		
