type;mapping;subject_id;subject_label;predicate_id;predicate_modifier;object_id;object_label;replaces;aligns;implements
standard;hrim:DEA9D700;care-sm:Sex;"""Biological sex""@en";hriv:hasExactMeaning;;hrio:Sex;"""Sex""@en";;;
standard;hrim:6F4CB9BC;fhir:StructureDefinition/individual-pronouns;"""Individual pronouns""@en";hriv:hasExactMeaning;Not;hrio:PreferredPronoun;"""Preferred Pronoun""@en";;;
standard;hrim:0F0D51B3;hl7:gender-identity;"""Gender Identity (value domain)""@en";hriv:hasExactMeaning;Not;hrio:SelfIdentifiedGender;"""Self-identified Gender""@en";;;
standard;hrim:CBA8E845;hl7:pronouns;"""Personal Pronouns (value domain)""@en";hriv:hasExactMeaning;Not;hrio:PreferredPronoun;"""Preferred Pronoun""@en";;;
standard;hrim:52BBB31A;hri-cdash:variation-in-physical-sex-characteristics;"""Variation in physical sex characteristics""@en";hriv:hasExactMeaning;Not;hrio:IndeterminateVisualSexCharacteristic;"""Indeterminate Visual Sex Characteristic""@en";;;
standard;hrim:77D461F5;hri-cdash:variation-in-physical-sex-characteristics;"""Variation in physical sex characteristics""@en";hriv:hasExactMeaning;Not;hrio:IndeterminateSex;"""Indeterminate Sex""@en";;;
standard;hrim:B1A2A428;hri-cdash:variation-in-physical-sex-characteristics;"""Variation in physical sex characteristics""@en";hriv:hasExactMeaning;Not;hrio:PhenotypicAmbiguousSex;"""Phenotypic Ambiguous Sex""@en";;;
standard;hrim:E3412216;hri-cdash:variation-in-physical-sex-characteristics;"""Variation in physical sex characteristics""@en";hriv:hasExactMeaning;Not;hrio:IndeterminateDimorphicCharacteristic;"""Indeterminate Dimorphic Characteristic""@en";;;
standard;hrim:1CB686C4;hri-fhir-r5:administrative-gender/male;"""male (AdministrativeGender)""@en";hriv:hasExactMeaning;;hrio:AdministrativeMaleGender;"""Administrative Male Gender""@en";;;
standard;hrim:51F797D1;hri-fhir-r5:administrative-gender/unknown;"""unknown (AdministrativeGender)""@en";hriv:hasExactMeaning;Not;hrio:AdministrativeMaleGender;"""Administrative Male Gender""@en";;;
