subject_id;subject_label;predicate_id;predicate_modifier;object_id;object_label
care-sm:Sex;"""Biological sex""@en";hriv:hasExactMeaning;;hrio:Sex;"""Sex""@en"
fhir:StructureDefinition/individual-pronouns;"""Individual pronouns""@en";hriv:hasExactMeaning;Not;hrio:PreferredPronoun;"""Preferred Pronoun""@en"
hl7:gender-identity;"""Gender Identity (value domain)""@en";hriv:hasExactMeaning;Not;hrio:SelfIdentifiedGender;"""Self-identified Gender""@en"
hl7:pronouns;"""Personal Pronouns (value domain)""@en";hriv:hasExactMeaning;Not;hrio:PreferredPronoun;"""Preferred Pronoun""@en"
hri-cdash:variation-in-physical-sex-characteristics;"""Variation in physical sex characteristics""@en";hriv:hasExactMeaning;Not;hrio:IndeterminateVisualSexCharacteristic;"""Indeterminate Visual Sex Characteristic""@en"
hri-cdash:variation-in-physical-sex-characteristics;"""Variation in physical sex characteristics""@en";hriv:hasExactMeaning;Not;hrio:IndeterminateSex;"""Indeterminate Sex""@en"
hri-cdash:variation-in-physical-sex-characteristics;"""Variation in physical sex characteristics""@en";hriv:hasExactMeaning;Not;hrio:PhenotypicAmbiguousSex;"""Phenotypic Ambiguous Sex""@en"
hri-cdash:variation-in-physical-sex-characteristics;"""Variation in physical sex characteristics""@en";hriv:hasExactMeaning;Not;hrio:IndeterminateDimorphicCharacteristic;"""Indeterminate Dimorphic Characteristic""@en"
hri-fhir-r5:administrative-gender/male;"""male (AdministrativeGender)""@en";hriv:hasExactMeaning;;hrio:AdministrativeMaleGender;"""Administrative Male Gender""@en"
hri-fhir-r5:administrative-gender/unknown;"""unknown (AdministrativeGender)""@en";hriv:hasExactMeaning;Not;hrio:AdministrativeMaleGender;"""Administrative Male Gender""@en"
hri-fhir-r5:administrative-gender/unknown;"""unknown (AdministrativeGender)""@en";hriv:hasExactMeaning;Not;hrio:AdministrativeGender;"""Administrative Gender""@en"
hri-fhir-r5:administrative-gender/unknown;"""unknown (AdministrativeGender)""@en";hriv:hasExactMeaning;Not;hrio:AdministrativeNonBinaryGender;"""Administrative Non-binary Gender""@en"
hri-fhir-r5:administrative-gender/unknown;"""unknown (AdministrativeGender)""@en";hriv:hasExactMeaning;Not;hrio:AdministrativeFemaleGender;"""Administrative Female Gender""@en"
hri-fhir-r5:individual-gender-identity/comment;"""Individual gender identity.comment""@en";hriv:hasExactMeaning;Not;hrio:SelfIdentifiedGender;"""Self-identified Gender""@en"
hri-fhir-r5:individual-gender-identity/comment;"""Individual gender identity.comment""@en";hriv:hasExactMeaning;Not;hrio:SelfDesignatedGender;"""Self-designated Gender""@en"
hri-fhir-r5:individual-gender-identity/value;"""Individual gender identity.value""@en";hriv:hasExactMeaning;;hrio:SelfIdentifiedGender;"""Self-identified Gender""@en"
hri-fhir-r5:individual-pronouns/period;"""Individual pronouns.period""@en";hriv:hasExactMeaning;Not;hrio:PreferredPronoun;"""Preferred Pronoun""@en"
hri-fhir-r5:individual-recorded-sex-or-gender/acquisition-date;"""Person recorded sex or gender.acquisitionDate""@en";hriv:hasExactMeaning;Not;hrio:OffsetDateTime;"""OffsetDateTime""@en"
hri-fhir-r5:individual-recorded-sex-or-gender/acquisition-date;"""Person recorded sex or gender.acquisitionDate""@en";hriv:hasExactMeaning;Not;hrio:Date;"""Date""@en"
hri-fhir-r5:individual-recorded-sex-or-gender/comment;"""Person recorded sex or gender.comment""@en";hriv:hasExactMeaning;Not;hrio:Document;"""Document""@en"
hri-fhir-r5:individual-recorded-sex-or-gender/comment;"""Person recorded sex or gender.comment""@en";hriv:hasExactMeaning;Not;hrio:AdministrativeGenderRecognitionDocument;"""Administrative Gender Recognition Document""@en"
hri-fhir-r5:individual-recorded-sex-or-gender/gender-element-qualifier;"""Person recorded sex or gender.genderElementQualifier""@en";hriv:hasExactMeaning;Not;hrio:GenderContext;"""Gender Context""@en"
hri-fhir-r5:individual-recorded-sex-or-gender/gender-element-qualifier;"""Person recorded sex or gender.genderElementQualifier""@en";hriv:hasExactMeaning;Not;hrio:AdministrativeGender;"""Administrative Gender""@en"
hri-fhir-r5:individual-recorded-sex-or-gender/gender-element-qualifier;"""Person recorded sex or gender.genderElementQualifier""@en";hriv:hasExactMeaning;Not;hrio:ExternallyAttributedGender;"""Externally-attributed Gender""@en"
hri-fhir-r5:individual-recorded-sex-or-gender/gender-element-qualifier;"""Person recorded sex or gender.genderElementQualifier""@en";hriv:hasExactMeaning;Not;hrio:SexAtBirth;"""Sex at Birth""@en"
hri-fhir-r5:individual-recorded-sex-or-gender/source;"""Person recorded sex or gender.source""@en";hriv:hasExactMeaning;Not;hrio:Organization;"""Organization""@en"
hri-fhir-r5:individual-recorded-sex-or-gender/source;"""Person recorded sex or gender.source""@en";hriv:hasExactMeaning;Not;hrio:ArtificialAgent;"""Artificial Agent""@en"
hri-fhir-r5:individual-recorded-sex-or-gender/source;"""Person recorded sex or gender.source""@en";hriv:hasExactMeaning;Not;hrio:Document;"""Document""@en"
