prefix;url
care-sm;https://w3id.org/CARE-SM#
dcterms;http://purl.org/dc/terms/
fhir;http://hl7.org/fhir/
hl7;http://terminology.hl7.org/ValueSet/
hri-fhir-r5;https://data.health-ri.nl/id/fhir-r5/
hri-ga4gh-phenopacket-schema;https://data.health-ri.nl/id/ga4gh-phenopacket-schema/
hri-icd11;https://data.health-ri.nl/id/icd11/
hrim;https://w3id.org/health-ri/semantic-interoperability/mappings#
hrio;https://w3id.org/health-ri/ontology#
hri-omop;https://data.health-ri.nl/id/omop/
hri-openehr;https://data.health-ri.nl/id/openehr/
hriv;https://w3id.org/health-ri/mapping-vocabulary#
loinc;https://loinc.org/
mesh;http://purl.bioontology.org/ontology/MESH/
ncit;https://evsexplore.semantics.cancer.gov/evsexplore/concept/ncit/
obo;http://purl.obolibrary.org/obo/
onz-g;http://purl.org/ozo/onz-g#
orcid;https://orcid.org/
semapv;https://w3id.org/semapv/vocab/
snomed;http://snomed.info/id/
sssom;https://w3id.org/sssom/
hri-cdash;https://data.health-ri.nl/id/cdash/
model;https://examples.mymodels/
